file_id,voter_reg_num,last_name,first_name,dob,name_sufx_cd,type,ID,src,race,answer
1,8000002767 ,TIPTON ,JAYDEN ,09/09/1960 , ,1 ,1 ,A ,W ,1
1,8000002767 ,TIPTON ,JADEN ,09/09/1960 , ,1 ,1 ,B ,W ,1
2,1092091430 ,HENSLEY ,MAURICE ,02/11/1958 ,  ,1 ,100000842 ,B ,W ,1
2,1092091430 ,HENSLEY ,MAURICE ,02/11/1958 ,  ,1 ,100000842 ,B ,W ,1
3,9000018540 ,BYRD ,SAL ,04/07/1960 , ,1 ,2 ,A ,W ,1
3,9000018870 ,BYRD ,SAL ,04/07/1960 , ,1 ,2 ,B ,W ,1
4,1092091430 ,HENSLEY ,MAURICE ,02/11/1958 ,  ,1 ,100000842 ,B ,W ,1
4,1092091430 ,HENSLEY ,MAURICE ,02/11/1958 ,  ,1 ,100000842 ,B ,W ,1
5,0000006947 ,MADELINE ,BRYANT ,09/22/1926 , ,1 ,3 ,A ,W ,1
5,0000006947 ,BRYANT ,MADELINE ,09/22/1926 , ,1 ,3 ,B ,W ,1
6,1092091430 ,HENSLEY ,MAURICE ,02/11/1958 ,  ,1 ,100000842 ,B ,W ,1
6,1092091430 ,HENSLEY ,MAURICE ,02/11/1958 ,  ,1 ,100000842 ,B ,W ,1
7,0000018335 ,CALLAHAN ,PATSY ,11/13/1948 , ,1 ,4 ,A ,B, 1
7,0000018335 ,CALLAHAN ,PATSY , , ,1 ,4 ,B ,B, 1
8,1092091430 ,HENSLEY ,MAURICE ,03/03/1990 ,  ,1 ,100000842 ,B ,W ,1
8,1092091430 ,HENSLEY ,MAURICE ,03/03/1990 ,  ,1 ,100000842 ,B ,W ,1
9,0000020502 ,MORGAN ,SAMANTHA ,02/11/1958 , ,1 ,5 ,A ,1
9,0000020502 ,MORGAN ,SAMANTHA ,11/02/1958 , ,1 ,5 ,B ,1
10,1092091430 ,HENSLEY ,MAURICE ,02/11/1958 ,  ,1 ,100000842 ,B ,W ,1
10,1092091430 ,HENSLEY ,MAURICE ,02/11/1958 ,  ,1 ,100000842 ,B ,W ,1
11,1719852520 ,HYLEMON ,ROGRES ,07/15/1924 , ,1 ,6 ,A ,W ,1
11,1719852520 ,HYLEMON ,ROGERS ,07/15/1924 , ,1 ,6 ,B ,W ,1
12,1092091430 ,HENSLEY ,MAURICE ,02/11/1958 ,  ,1 ,100000842 ,B ,W ,1
12,1092091430 ,HENSLEY ,MAURICE ,02/11/1958 ,  ,1 ,100000842 ,B ,W ,1
13,6556368585 ,GREENE ,WILL ,07/03/1950 ,  ,1 ,100005306 ,A ,B ,1
13,6556368585 ,GREENE ,DAVE ,07/03/1950 ,  ,1 ,100005306 ,A ,W ,1
