Group ID,Record ID,First Name,FF,Last Name,LF,Reg No.,DoB,Race,First Name,Last Name,Reg No.,DoB,Race,Answer
1,B-3163,ROY,6,MCINTOSH,33,4575524753,06/25/1950,W,***,********,4575524753,**/**/****,*,0
1,A-3164,ROY,6,MCINTOSH,33,5755247536,06/25/1950,W,***,********,5755247536,**/**/****,*,0
2,A-3007,WOODY,1,GEORGE,4,1115234603,12/14/1974,W,WOODY,GEORGE,1115234603,12/14/1974,*,0
2,A-3008,GEORGE,12,WOODY,35,7253629498,08/07/1945,W,GEORGE,WOODY,7253629498,08/07/1945,*,0
3,B-3541,JACK,14,PALM,2,1529230024,04/06/1949,W,****,****,**********,04/06/****,*,0
3,A-3542,JACK,14,PALM,2,1529230024,06/04/1949,W,****,****,**********,06/04/****,*,0
4,A-3629,ANNE,3,FOX,72,1410858474,05/27/1978,W,**N_*,FOX,**********,**/**/****,W,0
4,B-3630,ANGIE,1,MCCOOL,2,1410858474,05/27/1978,M,**GI*,MCCOOL,**********,**/**/****,M,0
5,A-3623,JESSI,1,COMPTON,2,1723442567,11/05/1983,W,*****_,*******,**********,**/**/****,W,1
5,B-3624,JESSIE,5,COMPTON,2,1723442567,11/05/1983,U,*****E,*******,**********,**/**/****,U,1
6,A-3577,FELIPE,2,CASTILLO,2,1081934167,10/30/1962,O,******,********,**********,**/**/****,O,1
6,B-3578,FELIPE,2,CASTILLO,2,1081934167,10/30/1962,W,******,********,**********,**/**/****,W,1
7,B-3319,MICHAEL,53,WOODY,35,,04/07/1978,W,*******,*****,,**/**/****,*,1
7,A-3320,MICHAEL,53,WOODY,35,9606582579,04/07/1978,W,*******,*****,9606582579,**/**/****,*,1
8,B-3295,EDWARD,19,HUSKINS,37,1713732487,02/28/1931,W,******,*******,***37*****,**/**/****,*,0
8,A-3296,EDWARD,19,HUSKINS,37,1717332487,02/28/1931,W,******,*******,***73*****,**/**/****,*,0
9,A-1091,BILLY,35,HUSKINS,37,3252594259,10/08/1948,W,*****,*******,3252594259,10/08/****,*,1
9,A-1092,BILLY,35,HUSKINS,37,3253364260,06/25/1948,W,*****,*******,3253364260,06/25/****,*,1
10,B-3343,CHARLOTTE,3,COOK,4,1062233909,12/19/1977,W,*********,****,**********,**/*9/****,*,1
10,A-3344,CHARLOTTE,3,COOK,4,1062233909,12/17/1977,W,*********,****,**********,**/*7/****,*,1
11,B-3349,VIRGINIA,9,GRIGGS,3,5500937203,03/19/1928,W,********,******,**********,03/**/****,*,0
11,A-3350,VIRGINIA,9,GRIGGS,3,5500937203,12/19/1928,W,********,******,**********,12/**/****,*,0
12,A-3151,JAMES,82,SPARKS JR,1,7719470108,05/06/1946,W,*****,****** JR,7719470108,**/**/****,*,0
12,A-3152,JAMES,82,SPARKS,4,1730622661,05/06/1946,W,*****,******___,1730622661,**/**/****,*,0
13,A-3147,SHELLY,3,FENDER,27,1445228924,02/20/1965,W,******,FENDER,1445228924,**/**/****,*,1
13,A-3148,SHELLY,3,RIDDLE,46,7327709595,02/20/1965,W,******,RIDDLE,7327709595,**/**/****,*,1
14,B-3509,NATHAN,4,HILEMON,6,1808893686,09/23/1949,W,******,*******,**********,**/**/**49,*,1
14,A-3510,NATHAN,4,HILEMON,6,1808893686,09/23/1994,W,******,*******,**********,**/**/**94,*,1
15,B-1019,TIMOTHY,20,FOX,72,1651951631,05/02/1992,W,TIMOTHY,***,1651951631,**/**/****,*,1
15,B-1020,TAYLOR,3,FOX,72,1656461690,05/02/1992,W,TAYLOR,***,1656461690,**/**/****,*,1
16,A-3083,JASON,10,TERRELL,4,9744042759,12/20/1973,W,*****,*******,9744042759,**/**/****,*,0
16,A-3084,JASON,10,TERRELL,4,1783463353,12/20/1973,W,*****,*******,1783463353,**/**/****,*,0
17,A-1795,JEFFREY,8,THOMAS,44,1336707503,01/19/1986,W,*******,******,1336707503,01/19/1986,*,0
17,A-1796,JEFFREY,8,THOMAS,44,1615911159,10/09/1990,W,*******,******,1615911159,10/09/1990,*,0
18,B-3553,DAPHNE,2,HUGHES,62,9908242974,,W,******,******,**********,,*,1
18,A-3554,DAPHNE,2,HUGHES,62,9908242974,10/07/1977,W,******,******,**********,10/07/1977,*,1
19,A-265,J,5,WOODY,35,2245272940,08/13/1929,W,*______,*****,**********,**/**/****,*,1
19,B-266,JUSTICE,1,WOODY,35,2245272940,08/13/1929,W,*USTICE,*****,**********,**/**/****,*,1
20,A-813,CLEOPHAS,2,ROBERTSON JR,1,8385421098,05/18/1926,W,********,********* JR,**********,**/**/****,*,0
20,B-814,CLEOPHAS,2,ROBERTSON,8,8385421098,05/18/1926,W,********,*********___,**********,**/**/****,*,0
21,A-689,KALIE,2,DAVIS,11,1719312513,11/30/1993,W,*****,DAVIS,**********,**/**/****,*,0
21,B-690,KALIE,2,OLLIS,2,1719312513,11/30/1993,W,*****,OLLIS,**********,**/**/****,*,0
22,B-3441,IRIS,2,ROUNTREE,3,1863884406,08/31/1995,W,****,********,**********,**/31/****,*,1
22,A-3442,IRIS,2,ROUNTREE,3,1863884406,08/13/1995,W,****,********,**********,**/13/****,*,1
23,B-3037,HOLLRAH,1,MARLA,1,1534730096,04/16/1963,W,HOLLRAH,MARLA,**********,**/**/****,*,0
23,A-3038,MARLA,1,HOLLRAH,1,1534730096,04/16/1963,W,MARLA,HOLLRAH,**********,**/**/****,*,0
24,B-3385,ETHEL,2,HONEYCUTT,37,1028933473,08/05/1953,W,*****,*********,**********,**/**/***3,*,0
24,A-3386,ETHEL,2,HONEYCUTT,37,1028933473,08/05/1957,W,*****,*********,**********,**/**/***7,*,0
