Group ID,Record ID,First Name,FF,Last Name,LF,Reg No.,DoB,Race,First Name,Last Name,Reg No.,DoB,Race,type,Answer
1,B-2093,DAVID,61,HENSON,5,5552867271,10/26/1953,B,*****,******,5552867271,10/26/1953,B,8,0
1,B-2094,DAVID,61,HENSON,5,1943315446,,I,*****,******,1943315446,,I,8,0
2,B-187,BRIGGS,1,MAPHRA,1,1707632236,05/16/1933,W,BRIGGS,MAPHRA,**********,**/**/****,*,11,1
2,A-188,MAPHRA,1,BRIGGS,40,1707632236,05/16/1933,W,MAPHRA,BRIGGS,**********,**/**/****,*,11,1
3,A-1327,ALLISON,4,HUSKINS,37,1707092353,02/24/1992,U,*******,HUSKINS,**********,**/**/****,U,29,1
3,B-1328,ALLISON,4,BUCHANAN,45,1707092353,02/24/1992,W,*******,BUCHANAN,**********,**/**/****,W,29,1
4,A-1075,HOWARD,4,BOWERS JR,1,1482729415,04/04/1943,W,******,****** JR,**********,**/**/****,*,5,1
4,B-1076,HOWARD,4,BOWERS,3,1482729415,04/04/1943,W,******,******___,**********,**/**/****,*,5,1
5,A-1699,BILLY,35,HUSKINS,37,3252594259,10/08/1948,W,*****,*******,3252594259,10/08/****,*,7,0
5,A-1700,BILLY,35,HUSKINS,37,3253364260,06/25/1948,W,*****,*******,3253364260,06/25/****,*,7,0
6,B-1045,DAWN,8,PARSONS,2,1435293902,08/28/1960,W,****,*******,1435293902,**/**/****,*,16,1
6,A-1046,DAWN,8,PARSONS,2,1452939025,08/28/1960,W,****,*******,1452939025,**/**/****,*,16,1
7,B-321,CHARLES,61,ALDRIDGE,4,3779554949,06/20/1933,W,*******,********,**********,**/20/****,*,23,1
7,A-322,CHARLES,61,ALDRIDGE,4,3779554949,06/02/1933,W,*******,********,**********,**/02/****,*,23,1
8,A-1657,DARYL,6,GEOUGE,4,6500618512,09/10/1962,W,*****,******,6500618512,**/**/****,*,6,0
8,A-1658,DARYL,6,GEOUGE,4,1854954289,09/10/1962,W,*****,******,1854954289,**/**/****,*,6,0
9,A-1355,JESSI,1,COMPTON,2,1723442567,11/05/1983,W,*****_,*******,**********,**/**/****,W,28,1
9,B-1356,JESSIE,5,COMPTON,2,1723442567,11/05/1983,U,*****E,*******,**********,**/**/****,U,28,1
10,A-1295,WILLOREE,1,BUCHANAN,45,1684112052,08/08/1977,W,******E*,BUCHANAN,**********,**/**/****,*,4,1
10,B-1296,WILLORE,1,WHITSON,38,1684112052,08/08/1977,W,******_*,WHITSON,**********,**/**/****,*,4,1
11,A-81,SILAS,2,WOODY,35,1710072392,08/12/1992,U,*****,****_*,1710072392,**/**/****,U,14,1
11,A-82,SILAS,2,WOODBY,8,1745052850,08/12/1992,W,*****,****B*,1745052850,**/**/****,W,14,1
12,A-65,JESSE,2,BAILEY,12,1429798722,01/23/1965,W,*****,******,1429798722,**/**/****,*,12,1
12,A-66,JESSE,2,BAILEY,12,1731762676,01/23/1965,W,*****,******,1731762676,**/**/****,*,12,1
13,A-641,CHRISTINA,4,LEDFORD,34,8780251497,10/27/1970,W,*********,*******,**********,**/**/****,W,27,1
13,B-642,CHRISTINA,4,LEDFORD,34,8780251497,10/27/1970,U,*********,*******,**********,**/**/****,U,27,1
14,B-233,ZOLA,2,BRIGGS,40,2319953026,01/01/1922,W,****,******,***9******,**/**/****,*,17,1
14,A-234,ZOLA,2,BRIGGS,40,2310953026,01/01/1922,W,****,******,***0******,**/**/****,*,17,1
15,B-719,PAMELA,6,RAY,30,9790632820,07/10/1931,W,******,***,**********,**/**/**3*,*,22,1
15,A-720,PAMELA,6,RAY,30,9790632820,07/10/1971,W,******,***,**********,**/**/**7*,*,22,1
16,A-1451,KIRSTEN,2,GOUGE,5,1795003504,08/13/1994,W,*******,GOUGE,**********,**/**/****,*,3,1
16,B-1452,KIRSTEN,2,LEDFORD,34,1795003504,08/13/1994,W,*******,LEDFORD,**********,**/**/****,*,3,1
17,B-651,DAVID,61,BYRD,22,8883351632,,W,*****,****,**********,,*,26,1
17,A-652,DAVID,61,BYRD,22,8883351632,03/04/1973,W,*****,****,**********,03/04/1973,*,26,1
18,A-1423,MICHELE,3,MCINTOSH,33,1774223232,09/11/1970,W,*****_**,********,**********,**/**/****,*,1,1
18,B-1424,MICHELLE,16,MCINTOSH,33,1774223232,09/11/1970,W,*****L**,********,**********,**/**/****,*,1,1
19,B-1399,GENE,2,BLEVINS,24,1749782912,09/01/1968,W,****,*******,**********,09/01/****,*,25,1
19,A-1400,GENE,2,BLEVINS,24,1749782912,01/09/1968,W,****,*******,**********,01/09/****,*,25,1
20,B-1145,TABETHA,2,SILVERS,57,1537200126,02/06/1969,W,*******,*******,****20****,**/**/****,*,18,1
20,A-1146,TABETHA,2,SILVERS,57,1537020126,02/06/1969,W,*******,*******,****02****,**/**/****,*,18,1
21,B-813,EDDIE,4,HONEYCUTT,37,1110804545,11/25/1954,W,*****,*********,**********,11/**/****,*,21,1
21,A-814,EDDIE,4,HONEYCUTT,37,1110804545,07/25/1954,W,*****,*********,**********,07/**/****,*,21,1
22,A-3613,SILVER,1,FRANK,1,1765213114,04/04/1994,W,SILVER,FRANK,1765213114,04/04/1994,*,10,0
22,A-3614,FRANK,14,SILVER JR,7,8477071110,07/26/1934,W,FRANK,SILVER JR,8477071110,07/26/1934,*,10,0
23,B-3597,WESTON,2,REEVES,2,1883204659,,W,******,REEVES,1883204659,,*,9,0
23,B-3598,WESTON,2,DEYTON,32,2009526313,,W,******,DEYTON,2009526313,,*,9,0
24,A-31,SHELLY,3,FENDER,27,1445228924,02/20/1965,W,******,FENDER,1445228924,**/**/****,*,13,1
24,A-32,SHELLY,3,RIDDLE,46,7327709595,02/20/1965,W,******,RIDDLE,7327709595,**/**/****,*,13,1
