file_id,voter_reg_num,last_name,first_name,dob,name_sufx_cd,type,ID,src,race
1 ,2443840032 ,BRADFORD ,JAMES ,08/03/1952 ,  ,1 ,100000015 ,A ,W
2 ,2443840032 ,BRADFORD ,WILLIAM ,08/03/1952 ,  ,1 ,100000015 ,B ,W
3 ,4765480624 ,HUGHES ,LORETTA ,09/02/1949 ,  ,1 ,100000357 ,A ,W
4 ,4765480624 ,HUGHES ,LORRETTA ,09/02/1949 ,  ,1 ,100000357 ,B ,W
5 ,8026481051 ,RIDDLE ,AMANDA ,03/03/1937 ,  ,1 ,100000608 ,A ,W
6 ,8026481051 ,RIDDLE ,MANDA ,03/03/1937 ,  ,1 ,100000608 ,B ,W
7 ,9683711268 ,BLEVINS ,MARY ,05/19/1946 ,  ,1 ,100000736 ,A ,W
8 ,9683711268 ,BLEVINS ,MARY RUTH ,05/19/1946 ,  ,1 ,100000736 ,B ,W
9 ,9981551307 ,FOX ,JEFFERY ,02/08/1973 ,  ,1 ,100000762 ,A ,W
10 ,9981551307 ,FOX ,JEFFREY ,02/08/1973 ,  ,1 ,100000762 ,B ,W
11 ,1018771334 ,LAWS ,ALTHEA ,11/03/1959 ,  ,1 ,100000775 ,A ,W
12 ,1018771334 ,LAWS ,CHRISTINE ,11/03/1959 ,  ,1 ,100000775 ,B ,W
13 ,1092091430 ,HENSLEY ,MORRIS ,02/11/1958 ,  ,1 ,100000842 ,A ,W
14 ,1092091430 ,HENSLEY ,MAURICE ,02/11/1958 ,  ,1 ,100000842 ,B ,W
15 ,1219621597 ,PITTMAN ,SUE ,01/02/1957 ,  ,1 ,100000957 ,A ,W
16 ,1219621597 ,PITTMAN ,SUANNE ,01/02/1957 ,  ,1 ,100000957 ,B ,W
17 ,1515181984 ,MURPHY ,BLANCHE ,12/22/1929 ,  ,1 ,100001185 ,A ,W
18 ,1515181984 ,MURPHY ,NELLIE ,12/22/1929 ,  ,1 ,100001185 ,B ,W
19 ,1587732079 ,THURSTON ,JACQUIE ,03/30/1950 ,  ,1 ,100001243 ,A ,W
20 ,1587732079 ,THURSTON ,JACQUELINE ,03/30/1950 ,  ,1 ,100001243 ,B ,W
21 ,1700752227 ,BRIGGS ,DONNA ,10/29/1947 ,  ,1 ,100001340 ,A ,W
22 ,1700752227 ,BRIGGS ,DONNIE ,10/29/1947 ,  ,1 ,100001340 ,B ,W
23 ,1731302267 ,BUCHANAN ,MARQUERITE ,03/02/1949 ,  ,1 ,100001371 ,A ,W
24 ,1731302267 ,BUCHANAN ,MARGUERITE ,03/02/1949 ,  ,1 ,100001371 ,B ,W
25 ,1873352453 ,GARLAND ,PHILLIP ,03/25/1940 ,  ,1 ,100001490 ,A ,W
26 ,1873352453 ,GARLAND ,PHILP ,03/25/1940 ,  ,1 ,100001490 ,B ,W
27 ,1955072560 ,LEDFORD ,THURLENE ,01/23/1953 ,  ,1 ,100001560 ,A ,W
28 ,1955072560 ,LEDFORD ,THURLINE ,01/23/1953 ,  ,1 ,100001560 ,B ,W
29 ,2002422622 ,MCINTOSH ,TOMMY ,07/13/1950 ,  ,1 ,100001597 ,A ,W
30 ,2002422622 ,MCINTOSH ,THOMAS ,07/13/1950 ,  ,1 ,100001597 ,B ,W
31 ,2089482736 ,SILVERS ,BETTY ,12/20/1945 ,  ,1 ,100001668 ,A ,W
32 ,2089482736 ,SILVERS ,BETTIE ,12/20/1945 ,  ,1 ,100001668 ,B ,W
33 ,2126902785 ,STINSON ,VICKIE ,03/13/1965 ,  ,1 ,100001702 ,A ,W
34 ,2126902785 ,STINSON ,VICKY ,03/13/1965 ,  ,1 ,100001702 ,B ,W
35 ,2329283050 ,BUCKNER ,NICOLAS ,04/15/1940 ,  ,1 ,100001890 ,A ,W
36 ,2329283050 ,BUCKNER ,NICHOLAS ,04/15/1940 ,  ,1 ,100001890 ,B ,W
37 ,2442313198 ,CARROLL ,LEISA ,06/09/1965 ,  ,1 ,100001990 ,A ,W
38 ,2442313198 ,CARROLL ,LESIA ,06/09/1965 ,  ,1 ,100001990 ,B ,W
39 ,2464453227 ,CHAMBERS ,EMMA ,03/22/1953 ,  ,1 ,100002005 ,A ,W
